calibration_method,calibration_alpha,section,bin,count,share,accuracy,avg_confidence,gap,ece,multiclass_brier
power,1.5,overall,overall,6995,1.0,0.8522,0.8749,0.0227,0.0251,0.227385
power,1.5,bin,"(-0.001, 0.1]",0,0.0,,,,,
power,1.5,bin,"(0.1, 0.2]",12,0.0017,0.0833,0.1786,0.0952,,
power,1.5,bin,"(0.2, 0.3]",78,0.0112,0.3077,0.254,0.0536,,
power,1.5,bin,"(0.3, 0.4]",158,0.0226,0.3797,0.3534,0.0263,,
power,1.5,bin,"(0.4, 0.5]",187,0.0267,0.4278,0.4509,0.0231,,
power,1.5,bin,"(0.5, 0.6]",244,0.0349,0.5123,0.5489,0.0366,,
power,1.5,bin,"(0.6, 0.7]",279,0.0399,0.6237,0.6497,0.026,,
power,1.5,bin,"(0.7, 0.8]",350,0.05,0.6543,0.753,0.0987,,
power,1.5,bin,"(0.8, 0.9]",796,0.1138,0.8153,0.8626,0.0473,,
power,1.5,bin,"(0.9, 1.0]",4891,0.6992,0.9444,0.9593,0.015,,
