component_group,support,precision,recall,f1
ENGINE / COOLING,1600,0.9103,0.8881,0.8991
POWER TRAIN,1162,0.8878,0.8373,0.8618
ELECTRICAL SYSTEM,1068,0.8261,0.8184,0.8222
SERVICE BRAKES,441,0.917,0.9274,0.9222
FUEL / PROPULSION,407,0.8668,0.7838,0.8232
STEERING,396,0.9146,0.9192,0.9169
STRUCTURE,320,0.804,0.7562,0.7794
VISIBILITY / WIPER,267,0.7826,0.8764,0.8269
AIR BAGS,258,0.8713,0.9186,0.8943
BACK OVER PREVENTION,203,0.8054,0.8768,0.8396
EXTERIOR LIGHTING,194,0.9141,0.933,0.9235
FORWARD COLLISION AVOIDANCE,143,0.8448,0.6853,0.7568
SUSPENSION,138,0.6987,0.7899,0.7415
SEATS,105,0.9151,0.9238,0.9194
SEAT BELTS,89,0.9438,0.9438,0.9438
VEHICLE SPEED CONTROL,64,0.3056,0.5156,0.3837
TIRES,60,0.6548,0.9167,0.7639
WHEELS,41,0.575,0.561,0.5679
LANE DEPARTURE,24,0.5172,0.625,0.566
LATCHES/LOCKS/LINKAGES,15,0.3571,1.0,0.5263
ELECTRONIC STABILITY CONTROL (ESC),0,0.0,0.0,0.0
